,Google,Tesla,Amazon,Apple
0,144.774994,244.523331,173.902496,154.300003
1,141.921005,245.42334,173.457504,148.970001
2,141.463501,253.16333,173.126007,146.059998
3,142.632996,258.130005,171.276001,146.919998
4,136.462494,258.406677,164.162994,142.649994
5,140.056,261.829987,164.431,142.899994
6,141.675003,281.01001,170.451004,144.839996
7,138.625,303.226654,166.777496,148.690002
8,148.270493,371.333344,168.621506,149.800003
9,149.240997,407.363342,175.949493,151.279999
10,149.645493,344.473328,176.257507,149.990005
11,149.952499,379.019989,183.828506,160.550003
12,142.806,360.640015,175.227997,156.809998
13,142.520493,338.323334,169.489502,161.839996
14,148.675003,339.01001,172.212006,179.449997
15,142.802994,310.856659,170.017502,171.139999
16,147.142502,355.666656,171.068497,176.279999
17,144.679504,352.26001,166.716995,177.570007
18,137.004501,342.320007,162.554001,172.169998
19,139.786499,349.869995,162.138,173.070007
20,130.091995,314.633331,142.643005,162.410004
21,133.289505,282.116669,143.977997,170.330002
22,143.016006,307.773346,157.639496,172.389999
23,134.130005,286.666656,153.293503,168.639999
24,130.467499,285.660004,152.601501,167.300003
25,134.519501,269.956665,153.788498,164.850006
26,132.121994,279.429993,145.641006,163.169998
27,130.475494,265.116669,145.524506,154.729996
28,136.801498,301.796661,161.250504,163.979996
29,141.5215,336.880005,164.773499,174.720001
30,140.699997,361.529999,163.559998,174.309998
31,134.010498,341.829987,154.460495,170.089996
32,127.252998,328.333344,151.706497,165.289993
33,119.613998,335.016663,144.350006,161.789993
34,114.966499,290.253326,124.281502,157.649994
35,115.660004,288.549988,114.772499,157.279999
36,116.515503,256.529999,113.055,147.110001
37,109.313004,221.300003,107.591003,137.589996
38,112.799004,253.210007,115.1465,149.639999
39,114.564003,234.516663,122.349998,145.380005
40,111.427498,232.229996,109.650002,137.130005
41,107.865501,216.759995,106.220001,131.559998
42,118.538002,245.706665,116.459999,141.660004
43,109.081001,227.263336,109.559998,138.929993
44,120.168503,250.763336,115.540001,147.039993
45,112.766998,240.066666,113.550003,150.169998
46,108.360001,272.243347,122.419998,154.089996
47,116.639999,297.149994,134.949997,162.509995
48,118.220001,288.170013,140.800003,165.350006
49,122.650002,300.029999,143.550003,172.100006
50,118.120003,296.666656,138.229996,171.520004
51,111.300003,288.089996,130.75,163.619995
52,110.339996,284.820007,129.789993,161.380005
